Nelson_data\ca\154940\182489\10452903.html,Prestige Mountain Resort Rossland,"""My husband and I checked into the Prestige and immediately were uneasy. Our room was very small, dirty, had a huge hole in the bathroom ceiling where an exaust fan used to be, and was right next to, (shared a wall) with the ice machine and vending machine. We asked to switch rooms and the front desk clerk said they were full and didn't even try to accommodate our request. At 3:30AM, when I still could not get to sleep, I went down to the lobby and the man at the desk unplugged the ice machine  Thank You. We were scheduled to stay for three nights but ended up checking out two days early and renting a condo on the mountain. For the different in price (added $40 night ) the condo was great. Very spacious, clean and had a wonderful hot tub on our deck. I don't know how the Prestige is a 4 1\u002F2 star resort. I've stayed at nicer Motel 6's. Not recommended!",1,negative,"October 30, 2007",1919 Columbia Avenue Box 1958,Rossland,Kootenay Rockies,V0G 1Y0
Nelson_data\ca\154940\182489\116840256.html,Prestige Mountain Resort Rossland,"""Beautiful hotel, spacious clean rooms. Friendly service. Top quality restaurant with wonderful place to eat outside. Here we would like to stay longer!",5,positive,"August 17, 2011",1919 Columbia Avenue Box 1958,Rossland,Kootenay Rockies,V0G 1Y0
Nelson_data\ca\154940\182489\117774735.html,Prestige Mountain Resort Rossland,"""Very friendly and accommodating. Older hotel but in very top notch condition.\nBeautiful well appointed and spotless room.\nExcellent restaurant.\nLook forward to returning again.\n\nI would not deal with Expedia again,  but the hotel themselves were fantastic.\nExpedia rate was higher than the rack rate for seniors through the hotels own website.",5,positive,"September 6, 2011",1919 Columbia Avenue Box 1958,Rossland,Kootenay Rockies,V0G 1Y0
Nelson_data\ca\154940\182489\118085021.html,Prestige Mountain Resort Rossland,"""Prestige Mountain Resort in Rossland, B.C. is a beautiful hotel situated in the middle of Rossland.  It is a 5-star big city hotel in a beautiful mountain town within walking distance of all the attractions that Rossland offers including fabulous restaurants.  There is also a lovely coffee shop with a patio on the main level of the hotel.  The rooms were well appointed and included a fridge, stove and dishes.  The views from the rooms were mountains, mountains, mountains.  Beautiful.  The front desk staff were excellent:  friendly and helpful.",5,positive,"September 13, 2011",1919 Columbia Avenue Box 1958,Rossland,Kootenay Rockies,V0G 1Y0
Nelson_data\ca\154940\182489\118461220.html,Prestige Mountain Resort Rossland,"""The previous reviews were spot on.  Great property in a town worth visiting.  We thought the 30% discount they offer seniors very generous. Our room was very spacious, well appointed and very clean.  Staff could not have been more friendly and helpful.  Gabriella's Restaurant should not be missed.  If you visit in the summer dine Al Fresco on their patio.  They were very busy the night we were there and our server warned us it could be a bit slow.  Sipping our wine and enjoying the view we were quite content.  Our dinner was worth the wait.  Our server very graciously offered us a dessert to share seeing we had been so patient.  The Tiramasu was one of the best we had ever tasted.  Our first trip to Rossland and our first stay at a Prestige Inn and neither will be our last.",5,positive,"September 22, 2011",1919 Columbia Avenue Box 1958,Rossland,Kootenay Rockies,V0G 1Y0
Nelson_data\ca\154940\182489\120720233.html,Prestige Mountain Resort Rossland,"""I stay there on a regular basis and the hotel is extremely well managed and comfortable.  The restaurant and lounge both offer great food choices at very reasonable prices.  The front desk staff are exceptionally helpful and attentive and obviously well trained and managed.  They have nice, large flat screen televisions in the rooms, though the rooms don't seem overly large. I think if you get the king size bed you might get a bigger room.  The views are amazing from the restaurant but the rooms don't really take advantage of that. Overall I am always happy to go back to this hotel and am very thankful to have such a nice place to stay every time I return.",5,positive,"November 17, 2011",1919 Columbia Avenue Box 1958,Rossland,Kootenay Rockies,V0G 1Y0
Nelson_data\ca\154940\182489\126565240.html,Prestige Mountain Resort Rossland,"""we spent new years at the prestige in rossland.  it was our first time visiting rossland, but we chose the prestige since we've always had great experiences at their hotels.  this time was no different.  the hotel is on main street, next to the grocery store.  it is a 5 minute drive to red mountain.  the rooms were quiet and the kitchen was great to prepare breakfast and snacks.  the rooms were clean, the price was great and the service at the front desk was top notch.  we visit nelson a lot and always stay at the prestige and the service is the same at both places.\n\nif you want a great place to stay for price, comfort and service, go to the prestige in rossland.",5,positive,"March 23, 2012",1919 Columbia Avenue Box 1958,Rossland,Kootenay Rockies,V0G 1Y0
Nelson_data\ca\154940\182489\128052418.html,Prestige Mountain Resort Rossland,"""I travel through the area a great deal on business. This prestige is one of my favorites. Excellent staff, I like the decor, excellent location, good food. The only annoyance is the Internet which truly sucks. It doesn't matter if the place is empty or full it is extremelyl slow. it's not an issue of being in the mountains it's an issue of bandwidth and download limiters the prestige puts on their system. If you are in the area on business and need good Internet stay somewhere else.",4,positive,"April 17, 2012",1919 Columbia Avenue Box 1958,Rossland,Kootenay Rockies,V0G 1Y0
Nelson_data\ca\154940\182489\128662664.html,Prestige Mountain Resort Rossland,"""I have stayed in this hotel on several occasions and have always been happy with the service and  accomodations.   Rossland is a small ski resort community and although it is only 10 minutes out of Trail you would think you had travelled much longer to enjoy the lovely small town atmosphere, the mountains and location.    This time I booked rooms for  6 individuals from various parts of Canada in for a meeting with one of our larger clients in the area.  We decided to hold our meetings at this the Prestige  as well as our lunch and dinner.  Lori who is the AGM and her staff went out of her way on several occasions to make sure we were happy with the arrangements, and that we had all the material needed for our meetings.    The food was excellent, both the catered lunch as well as the dinner in the restaurant.  The rooms are  nicely laid out and very clean,  nice flat screen TV's and windows that open!   We came just after ski season so the town was very quiet which was just fine for our purpose.  This hotel  also has a lovely deck out back and the weather was nice enough that we could enjoy the beautiful mountain scenery.   I  commend the staff for an excellent attention to detail and overall service.",5,positive,"April 26, 2012",1919 Columbia Avenue Box 1958,Rossland,Kootenay Rockies,V0G 1Y0
Nelson_data\ca\154940\182489\136885462.html,Prestige Mountain Resort Rossland,"""Stayed one night in August on a business trip.  Room was great, I had a King suite so probably not the cheapest but very comfortable and reasonable value for that.  Service was friendly and helpful at check-in and checkout.  We had dinner on the restaurant deck, which was a good location and not too crowded.  Food was good quality and reasonably priced.  My colleagues enjoyed their lamb and ribs and my steak was adequate.  Apparently the Exec Chef was on vacation which might have been part of it.  Wine list was short but they had some good quality wines there.  The bar inside was comfortable as well.\nGood location for driving through, but it is a $100 cab ride from Castlegar so don't be thinking of staying there if you are flying out of Castlegar and you don't have your own transport.\nAt the time of our visit the main street was ripped up.  It will be great when it is finished, but it is a little awkward right now.  No breakfast at the hotel in the morning, although I suspect the cafe was turned off because of the road works (not sure - ask if it is a concern).  Nice enough breakfast at a little coffee bar down the street.  I would have remembered the name if the service had been a little quicker!\nYes, I'd stay there again given the opportunity.",4,positive,"August 11, 2012",1919 Columbia Avenue Box 1958,Rossland,Kootenay Rockies,V0G 1Y0
